[waypoint_traj-11] [INFO] [1757973351.072175021] [waypoint_traj_node]: Received path point: x=11.95, y=-1.51, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.072581393] [waypoint_traj_node]: Received path point: x=12.23, y=-1.84, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.073108712] [waypoint_traj_node]: Received path point: x=12.59, y=-3.07, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.073709719] [waypoint_traj_node]: Received path point: x=12.28, y=-4.48, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.074312159] [waypoint_traj_node]: Received path point: x=10.96, y=-6.40, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.074870506] [waypoint_traj_node]: Received path point: x=10.85, y=-7.43, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.075417281] [waypoint_traj_node]: Received path point: x=10.95, y=-9.76, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.075938860] [waypoint_traj_node]: Received path point: x=11.85, y=-10.78, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.076290649] [waypoint_traj_node]: Received path point: x=13.25, y=-10.88, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.076649622] [waypoint_traj_node]: Received path point: x=14.14, y=-10.81, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.076982206] [waypoint_traj_node]: Received path point: x=14.43, y=-10.73, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.077313778] [waypoint_traj_node]: Received path point: x=14.83, y=-10.50, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.077662131] [waypoint_traj_node]: Received path point: x=16.25, y=-8.44, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.077991008] [waypoint_traj_node]: Received path point: x=16.95, y=-7.53, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.078392962] [waypoint_traj_node]: Received path point: x=17.57, y=-6.52, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.078738590] [waypoint_traj_node]: Received path point: x=16.35, y=-3.82, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.079066344] [waypoint_traj_node]: Received path point: x=16.30, y=-2.25, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.079419026] [waypoint_traj_node]: Received path point: x=19.29, y=-1.12, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.079743544] [waypoint_traj_node]: Received path point: x=19.76, y=-0.59, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.080057683] [waypoint_traj_node]: Received path point: x=20.22, y=0.04, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.080416687] [waypoint_traj_node]: Received path point: x=20.53, y=1.61, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.080758898] [waypoint_traj_node]: Received path point: x=21.00, y=3.54, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.081090300] [waypoint_traj_node]: Received path point: x=21.82, y=4.95, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.081452960] [waypoint_traj_node]: Received path point: x=22.57, y=5.91, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.081786044] [waypoint_traj_node]: Received path point: x=23.29, y=6.77, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.082114450] [waypoint_traj_node]: Received path point: x=24.82, y=6.87, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.082517045] [waypoint_traj_node]: Received path point: x=25.12, y=5.87, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.082963673] [waypoint_traj_node]: Received path point: x=25.28, y=3.81, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.083324119] [waypoint_traj_node]: Received path point: x=25.47, y=2.96, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.083746942] [waypoint_traj_node]: Received path point: x=27.52, y=-0.29, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.084240958] [waypoint_traj_node]: Received path point: x=27.61, y=-1.40, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.084640347] [waypoint_traj_node]: Received path point: x=27.77, y=-1.59, yaw=0.02
